bbk_full;bbk_abb;description;changes;;;
;;;Боевая подготовка;;;
68.49(2Рос)9;;;См. 68.49 Военная работа среди;;;
;;;гражданского населения;;;
68.49(4/8);;;См. 68.4(4/8) Вооруженные силы отдельных зарубежных стран и;;;
;;;регионов;;;
68.5/7;68.5;Отдельные виды вооруженных сил, рода войск и службы;;;;
68.51;68.51;Сухопутные войска;;;;
68.512;68.512;Мотострелковые войска (пехота). Стрелковое оружие. Стрелковое;;;;
;;дело;;;;
68.513;68.513;Танковые (бронетанковые) войска. Бронетанковая техника и;;;;
;;вооружение;;;;
68.514;68.514;Ракетные войска и артиллерия;;;;
68.515;;;См. 68.56 Воздушно-десантные;;;
;;;войска (ВДВ);;;
;68.515;Войска противовоздушной обороны сухопутных войск (ПВО СВ);;;;
68.516;68.516;Инженерные войска. Военно-инженерное дело;;;;
68.517;68.517;Войска связи. Радиотехнические войска (РТВ). Войска;;;;
;;радиоэлектронной борьбы (РЭБ);;;;
68.518;68.518;Войска радиационной, химической и биологической защиты;;;;
;;(РХБЗ);;;;
68.52;;;См. 68.54 Ракетные войска;;;
;;;стратегического назначения (РВСН);;;
;68.52;Военно-воздушные силы (ВВС);;;;
68.53;;;См. 68.52 Военно-воздушные силы;;;
;;;(ВВС);;;
;68.53;Военно-морской флот (ВМФ);;;;
68.54;;;См. 68.53 Военно-морской флот;;;
;;;;;;
;;;(ВМФ);;;
;68.54;Ракетные войска стратегического назначения (РВСН);;;;
68.55;;;См. 68.522 Войска;;;
;;;противовоздушной обороны (ПВО);;;
;68.55;Войска воздушно-космической обороны;;;;
;68.56;Воздушно-десантные войска (ВДВ);;;;
;68.57;Пограничные и внутренние войска;;;;
;68.58;Войска специального назначения;;;;
;;(силы специальных операций);;;;
68.6;;;См. 68.55 Войска воздушно-;;;
;;;космической обороны;;;
68.7;68.7;Военная экономика. Тыл и обеспечение вооруженных сил;;;;
68.8;68.8;Военная техника. Военно-технические и военно-специальные;;;;
;;науки;;;;
68.9;68.9;Гражданская защита;;;;
70;7;Культура. Наука. Просвещение;;;;
71;71;Культура. Культурология;;;;
71.0;71.0;Теоретическая (фундаментальная) культурология;;;;
71.04;;;См. 71.06 Морфология (структура);;;
;;;культуры;;;
;71.04;Динамика культуры;;;;
71.05;;;См. 71.08 Типология культуры;;;
;71.05;Семиотика и семантика культуры;;;;
;71.06;Морфология (структура) культуры;;;;
;71.07;Культура и личность;;;;
;71.08;Типология культуры;;;;
71.1;71.1;Историческая культурология;;;;
71.4;71.4;Прикладная культурология;;;;
71.4(2);71.41(2);Культурная политика в России и СССР;Новый индекс;;;
;;;;;;
;71.41(2Рос);Культурная политика в Российской Федерации;Новый индекс;;;
71.4(3);71.41(4/8);Культурная политика в отдельных зарубежных странах;Новый индекс;;;
;;;;;;
72;72;Наука. Науковедение;;;;
72.3;72.3;История науки;;;;
72.4;72.4;Организация науки;;;;
72.4(2);;;См. 72.3 История науки;;;
;72.4(2Рос);Организация науки в Российской Федерации;;;;
;72.5;Научно-исследовательская деятельность;;;;
;72.6;Ученые. Научные работники;;;;
73;;;См. 78.6 Научно- информационная деятельность;;;
74;74;Образование. Педагогические науки;;;;
74р;;;См. 74.409 Педагогическое;;;
;;;образование в целом;;;
;74.0;Общая педагогика;;;;
74.00;;;См. 74.0 Общая педагогика;;;
;74.00;Теория и методика воспитания;;;;
;74.02;Дидактика;;;;
74.03;74.03;История образования и педагогической мысли;;;;
74.03(0);74.03(0);Всеобщая история образования и педагогической мысли;;;;
74.03(2);74.03(2);История образования и педагогической мысли в России и СССР;;;;
74.03(3);74.03(3);История образования и педагогической мысли в зарубежных;;;;
;;стран;;;;
74.04;74.04;Организация образования;;;;
;;;;;;
;74.04н;Техника безопасности в образовательных учреждениях;;;;
74.04(2);;;См. 74.03(2) История образования и педагогической мысли в России и;;;
;;;СССР;;;
;74.04(2Рос);Организация образования в Российской Федерации;;;;
74.04(3);74.04(3);Организация образования в зарубежных странах;;;;
74.05;;;Непрерывное образование см. 74.04 Организация образования;;;
;;;-    взрослых – 74.324;;;
;;;-    профессиональное – 74.40;;;
74.1;74.1;Дошкольное воспитание. Дошкольная педагогика;;;;
74.10;74.10;Дошкольная педагогика;;;;
74.100;74.100;Теория и методика дошкольного воспитания;;;;
74.100.5;74.100.5;Отдельные направления воспитания дошкольников;;;;
;74.100.57;Игра;;;;
74.100.58;;;См. 74.100.57 Игра;;;
;74.100.58;Организация праздников и развлечений;;;;
74.102;74.102;Дошкольная дидактика;;;;
74.104;74.104;Организация работы дошкольного образовательного учреждения;;;;
74.105;74.105;Дошкольное образовательное учреждение и семья. Дошкольное;;;;
;;образовательное учреждение и общественность;;;;
;74.13;История дошкольной педагогики и дошкольного воспитания;;;;
;74.14;Организация дошкольного воспитания и образования;;;;
74.2;74.2;Общеобразовательная школа. Педагогика школы;;;;
74.20;74.20;Педагогика школы;;;;
74.200;74.200;Теория и методика воспитания;;;;
74.200.25;74.200.25;Традиции и их роль в воспитании;;;;
;74.200.26;Воспитание с учетом половозрастных и индивидуальных особенностей учащихся;;;;
;74.200.3;Воспитание коллектива;;;;
74.200.5;74.200.5;Отдельные направления воспитания учащихся;;;;
74.200.50;;;См. 74.200.52 Гражданское;;;
;;;воспитание;;;
74.200.51;74.200.51;Нравственное воспитание;;;;
;;;;;;
74.200.52;;;См. 74.200.53 Трудовое;;;
;;;воспитание учащихся;;;
;74.200.52;Гражданское воспитание;;;;
;74.200.528;Экологическое воспитание;;;;
74.200.53;;;См. 74.200.52 Гражданское;;;
;;;воспитание;;;
;74.200.53;Трудовое воспитание учащихся;;;;
74.200.54;74.200.54;Эстетическое воспитание;;;;
74.200.55;74.200.55;Воспитание физической культуры и здорового образа жизни;;;;
74.200.56;;;См. 74.200.55 Воспитание;;;
;;;физической культуры и здорового образа жизни;;;
74.200.58;74.200.58;Внеурочная воспитательная работа. Дополнительное образование;;;;
;74.200.585;Отдельные направления внеурочной работы и дополнительного;;;;
;;образования;;;;
74.200.585.00;;;Внеклассное (дополнительное) чтение по определенному предмету см. в соответствующих подразделениях 74.26 Методика преподавания отдельных учебных;;;
;;;предметов в общеобразовательной школе;;;
74.200.585.01;;;См. 74.200.585.2 Техническое;;;
;;;творчество;;;
74.200.585.02;;;См. 74.200.528 Экологическое;;;
;;;воспитание;;;
;74.200.585.2;Техническое творчество;;;;
74.200.585.4;74.200.585.4;Туристско-краеведческая деятельность;;;;
;74.200.585.8;Организация досуга и отдыха;;;;
74.200.587;74.200.587;Учреждения внешкольной работы и дополнительного образования;;;;
74.200.6;74.200.6;Воспитательная работа в отдельных видах образовательных;;;;
;;учреждений и общежитиях учащихся;;;;
74.200.8;;;См. 74.200.585.8 Организация;;;
;;;досуга и отдыха;;;
74.202;74.202;Дидактика;;;;
;;;;;;
74.202.4;74.202.4;Процесс обучения;;;;
74.202.5;;;См. 74.202.5 Технология обучения;;;
;;;74.202.6    Методы, формы и;;;
;;;средства обучения;;;
;;;74.202.7  Формы организации обучения;;;
;;;74.202.8    Контроль и оценка;;;
;;;результатов обучения;;;
;74.202.5;Технология обучения;;;;
;74.202.6;Методы, формы и средства обучения;;;;
;74.202.7;Формы организации обучения;;;;
;74.202.8;Контроль и оценка результатов обучения. Успеваемость учащихся;;;;
74.204;74.204;Организация работы общеобразовательного учреждения.;;;;
;;Школоведение;;;;
74.205;74.205;Связь школы с семьей и общественностью;;;;
74.24;74.24;Организация общеобразовательной школы;;;;
74.26;74.26;Методика преподавания отдельных учебных предметов в;;;;
;;общеобразовательной школе;;;;
74.261;;;См. 74.262.0 Методика;;;
;;;преподавания естественных наук в целом;;;
74.262;;;См. 74.262.0 Методика преподавания естественных наук в;;;
;;;целом;;;
74.262.0;;;См. 74.262.0 Методика преподавания естественных наук в;;;
;;;целом;;;
;74.262.0;Методика преподавания естественных наук в целом;;;;
74.262.01;;;См. 74.262.0 Методика;;;
;;;преподавания естественных наук в целом;;;
74.262.21;74.262.21;Методика преподавания математики;;;;
74.262.22;;;См. 74.262.23 Методика;;;
;;;преподавания физики;;;
;74.262.23;Методика преподавания физики;;;;
;;;;;;
74.262.26;74.262.26;Методика преподавания астрономии;;;;
74.262.4;74.262.4;Методика преподавания химии;;;;
74.262.6;;;См. 74.262.68 Методика;;;
;;;преподавания географии;;;
;74.262.68;Методика преподавания географии;;;;
74.262.8;74.262.8;Методика преподавания биологии;;;;
74.262.85;74.262.85;Методика преподавания ботаники;;;;
74.262.86;74.262.86;Методика преподавания зоологии;;;;
;74.262.87;Методика преподавания биологии человека, антропологии;;;;
74.262.88;;;См. 74.262.87 Методика;;;
;;;преподавания биологии человека, антропологии;;;
74.263;;;См. 74.263.0 Методика;;;
;;;преподавания технологии;;;
;74.263.0;Методика преподавания технологии;;;;
74.263.01;;;См. 74.263.0 Методика;;;
;;;преподавания технологии;;;
74.263.2;74.263.2;Методика преподавания информатики и ИКТ;;;;
74.263.9;;;См. 74.263.0 Методика;;;
;;;преподавания технологии;;;
74.264;74.264;Методика преподавания технологии сельскохозяйственного труда;;;;
;;(агротехнологии);;;;
74.266;74.266;Методика преподавания общественных наук в целом;;;;
74.266.0;74.266.0;Методика преподавания обществознания;;;;
74.266.3;74.266.3;Методика преподавания истории;;;;
74.266.31;;;См. 74.266.32 Методика преподавания отечественной;;;
;;;истории;;;
;74.266.32;Методика преподавания отечественной истории;;;;
;74.266.329;Методика преподавания краеведения;;;;
74.266.5;74.266.5;Методика преподавания основ экономических знаний;;;;
74.266.504;;;См. 74.266.5 Методика преподавания основ экономических;;;
;;;знаний;;;
74.266.6;74.266.6;Методика преподавания основ политических знаний;;;;
;;;;;;
74.266.7;74.266.7;Методика преподавания основ законодательства;;;;
74.266.8;;;См. 74.266.89 Методика преподавания основ безопасности;;;
;;;жизнедеятельности;;;
;74.266.84;Методика преподавания начальной военной подготовки;;;;
;74.266.89;Методика преподавания основ безопасности жизнедеятельности;;;;
;74.267;Методика преподавания гуманитарных наук;;;;
74.267.5;74.267.5;Методика преподавания физической культуры;;;;
74.267.8;74.267.8;Методика преподавания библиотечно-библиографических знаний;;;;
74.268.0;74.268.0;Методика преподавания языков и литературы;;;;
74.268.1;74.268.1;Методика преподавания языков;;;;
74.268.1Рус;;;См. 74.268.19=411.2 Методика;;;
;;;преподавания русского языка;;;
;74.268.19;Методика преподавания отдельных языков;;;;
;74.268.19=411.2;Методика преподавания русского языка;;;;
74.268.3;74.268.3;Методика преподавания литературы;;;;
;74.268.39;Методика преподавания литературы отдельных народов;;;;
;74.268.39(=411.2);Методика преподавания русской литературы;;;;
74.268.4;74.268.4;Методика преподавания риторики;;;;
74.268.5;74.268.5;Методика преподавания искусства;;;;
74.268.51;74.268.51;Методика преподавания изобразительного искусства;;;;
74.268.53;74.268.53;Методика преподавания пения и музыки;;;;
;74.268.6;Методика преподавания основ мировых религиозных культур;;;;
74.268.7;74.268.7;Методика преподавания философии, логики;;;;
74.268.77;74.268.77;Методика преподавания этики;;;;
74.268.771;;;См. 74.268.85 Методика преподавания этики и психологии;;;
;;;семейной жизни;;;
74.268.78;74.268.78;Методика преподавания эстетики;;;;
74.268.8;74.268.8;Методика преподавания психологии;;;;
;74.268.85;Методика преподавания этики и психологии семейной жизни;;;;
74.27;74.27;Детские движения и организации;;;;
74.27(2Рос);;;См. 74.273(2) История детского;;;
;;;движения и организаций России;;;
;;;;;;
;74.273;История детских движений и организаций;;;;
;74.273(2);История детского движения и организаций России;;;;
74.3;;;См. 74.5 Специальные школы. Коррекционная (специальная);;;
;;;педагогика и его подразделения;;;
;74.3;Образование взрослых. Андрагогика;;;;
74.4;;;См. 74.3 Образование взрослых.;;;
;;;Андрагогика;;;
;74.4;Профессиональное и специальное образование;;;;
;74.40;Профессиональное и специальное образование в целом;;;;
;74.409;Педагогическое образование в целом;;;;
;74.46;Начальное профессиональное образование. Педагогика;;;;
;;профессиональной школы;;;;
;74.47;Среднее профессиональное образование. Педагогика среднего;;;;
;;профессионального образования;;;;
;74.479;Среднее педагогическое образование;;;;
;74.48;Высшее профессиональное образование.;;;;
;;Педагогика высшей школы;;;;
;74.489;Высшее педагогическое образование;;;;
74.5;;;См. 74.4 Профессиональное и;;;
;;;специальное образование;;;
;74.5;Специальные школы. Коррекционная (специальная) педагогика;;;;
74.56;;;См. 74.46 Начальное профессиональное образование. Педагогика профессиональной;;;
;;;школы;;;
74.560;;;См. 74.46 Начальное профессиональное образование.;;;
;;;Педагогика профессиональной школы;;;
74.57;;;См. 74.57 Среднее профессиональное образование. Педагогика среднего;;;
;;;профессионального образования;;;
74.58;;;См. 74.58 Высшее;;;
;;;;;;
;;;профессиональное образование.;;;
;;;Педагогика высшей школы;;;
74.6;74.6;Специализированные отрасли педагогики;;;;
;74.66;Социальная педагогика;;;;
74.9;74.9;Семейное воспитание и образование.;;;;
;;Семейная педагогика;;;;
74.9р;74.9р;Педагогическое просвещение родителей;;;;
74.90;74.90;Теория и методика семейного воспитания;;;;
74.900.6;;;См. 74.90 Теория и методика;;;
;;;семейного воспитания;;;
74.902;;;См. 74.90 Теория и методика;;;
;;;семейного воспитания;;;
74.905;;;См. 74.90 Теория и методика;;;
;;;семейного воспитания;;;
74.92;74.92;Семейное (домашнее) обучение;;;;
;74.93;История семейного воспитания и образования;;;;
;74.95;Семья и общественность;;;;
;;;;;;
75;75;Физическая культура и спорт;;;;
75.0;75.0;Медико-биологические основы физического воспитания и;;;;
;;спортивной тренировки;;;;
75.1;75.1;Теория и методика физического воспитания и физической;;;;
;;тренировки;;;;
75.113;75.113;Системы нормативных требований. Спортивная классификация;;;;
75.19;75.19;Спортивная атрибутика;;;;
75.3;75.3;История физической культуры;;;;
75.4;75.4;Организация физической культуры;;;;
75.4(2);;;См. 75.3 История физической;;;
;;;культуры;;;
;75.4(2Рос);Организация физической культуры и спорта в Российской;;;;
;;Федерации;;;;
75.4(3);75.4(3);Организация физической культуры и спорта в зарубежных;;;;
;;странах;;;;
;;;;;;
;75.47;Общества и объединения;;;;
75.48;75.48;Спортивные сооружения. Оборудование .Инвентарь. Спортивная;;;;
;;одежда и обувь;;;;
;75.49;Спортивные соревнования;;;;
;75.5/8;Отдельные виды физкультурно-спортивной деятельности;;;;
75.5;75.5;Игры. Спортивные игры;;;;
;75.555;Народные игры;;;;
75.565;75.565;Бадминтон;;;;
75.566;75.566;Баскетбол;;;;
75.567;75.567;Бейсбол. Софтбол;;;;
75.568;75.568;Водное поло;;;;
75.569;75.569;Волейбол;;;;
75.570;75.570;Гольф;;;;
75.571;75.571;Городки;;;;
75.572;75.572;Крикет;;;;
75.573;75.573;Биллиардный спорт;;;;
75.575;75.575;Регби;;;;
75.576;75.576;Ручной мяч (гандбол);;;;
75.577;75.577;Теннис;;;;
75.577.5;75.577.5;Мини-теннис;;;;
75.577.6;75.577.6;Настольный теннис (пинг-понг);;;;
75.578;75.578;Футбол;;;;
75.579;75.579;Хоккей;;;;
75.58;75.58;Шахматы. Шашки;;;;
75.581;75.581;Шахматы;;;;
75.582;75.582;Шашки;;;;
75.59;75.59;Другие виды игр;;;;
75.6;75.6;Гимнастика;;;;
;75.69;Отдельные гимнастические системы;;;;
75.7;75.7;Спорт;;;;
75.711;75.711;Легкая атлетика;;;;
75.711.5;75.711.5;Бег;;;;
75.711.7;75.711.7;Прыжки;;;;
75.711.8;75.711.8;Толкание и метание;;;;
;;;;;;
75.712;75.712;Тяжелая атлетика;;;;
75.713;75.713;Бокс;;;;
75.715;75.715;Спортивная борьба;;;;
75.716;75.716;Фехтование и рукопашный бой;;;;
75.717;75.717;Водный спорт;;;;
75.717.5;75.717.5;Плавание;;;;
75.717.6;75.717.6;Прыжки в воду;;;;
75.717.7;75.717.7;Гребля;;;;
75.717.8;75.717.8;Парусный спорт;;;;
75.717.90;75.717.90;Водно-моторный спорт;;;;
75.717.91;75.717.91;Подводный спорт;;;;
75.717.92;75.717.92;Водные лыжи;;;;
75.717.94;75.717.94;Серфинг.;;;;
;75.717.95;Акваплановый спорт;;;;
75.717.96;75.717.96;Судомодельный спорт;;;;
75.719;75.719;Зимний спорт;;;;
75.719.5;75.719.5;Лыжный спорт;;;;
75.719.6;75.719.6;Конькобежный спорт;;;;
75.719.9;75.719.9;Другие виды зимнего спорта;;;;
75.721;75.721;Авто-мото-велоспорт;;;;
75.721.5;75.721.5;Автомобильный спорт;;;;
75.721.6;75.721.6;Автомоделизм;;;;
75.721.7;75.721.7;Велосипедный спорт;;;;
75.721.8;75.721.8;Мотоциклетный спорт;;;;
75.722;75.722;Конный спорт;;;;
75.723;75.723;Стрелковый спорт;;;;
75.724;75.724;Воздушный спорт;;;;
75.725;75.725;Авиамодельный спорт. Моделирование ракет. Змейковый спорт;;;;
75.726;75.726;Комплексные виды спорта;;;;
75.727;75.727;Национальные виды спорта;;;;
75.729;75.729;Другие виды спорта;;;;
75.8;75.8;Спортивно-оздоровительный туризм. Альпинизм;;;;
75.81;75.81;Спортивно-оздоровительный туризм;;;;
75.82;75.82;Альпинизм;;;;
;;;;;;
;;;;;;
76;76;Средства массовой информации (СМИ). Книжное дело;;;;
76.0;76.0;Средства массовой информации (СМИ). Журналистика;;;;
76.006.5;;;См. 76.0 Средства массовой;;;
;;;информации (СМИ). Журналистика;;;
76.01;;;См. 76.02 Периодическая печать;;;
76.02;76.02;Периодическая печать;;;;
76.029;;;См. 76.02 Периодическая печать;;;
76.03;76.03;Радиовещание. Телевидение;;;;
76.031;76.031;Радиовещание. Радиожурналистика;;;;
76.032;76.032;Телевидение. Тележурналистика;;;;
76.04;;;См. 85.37 Киноискусство;;;
76.1;76.1;Книжное дело. Книговедение;;;;
76.10;76.10;Общее книговедение;;;;
76.17;76.17;Издательское дело;;;;
76.18;76.18;Книжная торговля (библиополистика);;;;
76.19;76.19;Коллекционирование произведений печати;;;;
77;77;Культурно-досуговая деятельность;;;;
77.02;;;См. 77 Культурно-досуговая;;;
;;;деятельность;;;
77.02-11;;;См. 74.02 Дидактика;;;
77.04;;;См. 77 Культурно-досуговая;;;
;;;деятельность;;;
77.056;;;См. 77.56 Рекреационно-;;;
;;;развлекательная деятельность;;;
77.056с;;;См. 77.56 Рекреационно-;;;
;;;развлекательная деятельность;;;
77.056с.я92;;;См. 77.563 Развлекательно-игровые;;;
;;;занятия;;;
;;;;;;
77.056я92;;;См. 77.563 Развлекательно-игровые;;;
;;;занятия;;;
77.2;;;См. 77 Культурно-досуговая;;;
;;;деятельность;;;
77.4;;;См. 77 Культурно-досуговая;;;
;;;деятельность;;;
;77.5;Основные направления культурно-досуговой деятельности;;;;
;77.55;Любительское творчество. Хобби;;;;
;77.56;Рекреационно-развлекательная деятельность;;;;
;77.562;Праздники;;;;
;77.563;Развлекательно-игровые занятия;;;;
77.7;;;См. 77.55 Любительское;;;
;;;творчество. Хобби;;;
78;78;Библиотечная, библиографическая и научно- информационная деятельность;;;;
;78.0;Библиотечная, библиографическая и научно-информационная;;;;
;;деятельность в целом;;;;
;78.01;Документоведение. Документология;;;;
;78.02;Технология библиотечной, библиографической и научно-;;;;
;;информационной деятельности в целом;;;;
;78.021;Технологическое управление;;;;
;78.023;Автоматизация технологических процессов в библиотечной,;;;;
;;библиографической и научно-информационной деятельности;;;;
;78.03;История библиотечной, библиографической и научно-;;;;
;;информационной деятельности в целом;;;;
;78.04;Организация библиотечной и научно-информационной деятельности в целом;;;;
;78.07;Информационная культура личности. Чтение;;;;
;78.073;Чтение и работа с книгой;;;;
;78.075;Использование библиотечных, библиографических и информационных ресурсов в личной работе;;;;
78.3;78.3;Библиотечное дело. Библиотековедение;;;;
;;;;;;
78.30;78.30;Теория библиотечного дела;;;;
78.303;;;См. 78.073 Чтение и работа с;;;
;;;книгой;;;
78.32;;;См. 78.3 Библиотечное дело.;;;
;;;Библиотековедение;;;
78.33;78.33;История библиотечного дела;;;;
78.34;78.34;Организация библиотечного дела;;;;
;78.34к;Управление, экономика и статистика библиотечного дела;;;;
;78.34л;Библиотечные организации и учреждения;;;;
;78.34м8(2Рос);Общероссийский день библиотек;;;;
78.34(2);;;См. 78.34 Организация;;;
;;;библиотечного дела;;;
78.34(2)707;;;См. 78.349 Организация работы;;;
;;;библиотеки;;;
78.34(3);;;См. 78.34 Организация;;;
;;;библиотечного дела;;;
78.342;;;См. 78.34 Организация;;;
;;;библиотечного дела;;;
78.348;78.348;Материально-техническая база библиотек;;;;
;78.349;Организация работы библиотеки;;;;
;78.35;Фонды. Фондоведение;;;;
78.36;;;См.78.35 Фонды. Фондоведение;;;
;78.36;Каталогизация. Каталоговедение;;;;
;78.362;Информационные технологии в каталогизации;;;;
;78.363;Описательная каталогизация;;;;
;78.364;Содержательная каталогизация. Индексирование;;;;
;78.365;Система каталогов;;;;
;78.366;Централизованная и корпоративная каталогизация;;;;
;78.367;Обслуживание пользователей в системе каталогов и картотек;;;;
78.37;;;См. 78.36 Каталогизация.;;;
;;;Каталоговедение;;;
;78.37;Обслуживание пользователей;;;;
;78.372;Технология обслуживания пользователей;;;;
;78.373;Организация обслуживания пользователей;;;;
;;;;;;
;78.374;Методы и формы обслуживания пользователей;;;;
;78.375;Комплексное обслуживание пользователей в специализированных;;;;
;;отделах библиотеки;;;;
;78.376;Справочно-библиографическое обслуживание пользователей;;;;
;;(СБО);;;;
;78.377;Информационное обслуживание пользователей;;;;
;78.378;Абонементное обслуживание;;;;
;78.379;Платные услуги в библиотеках;;;;
78.38;;;См 78.37 Обслуживание;;;
;;;пользователей;;;
;78.38;Библиотечное обслуживание детей и подростков;;;;
78.39;;;См. 78.38 Библиотечное;;;
;;;обслуживание детей и подростков;;;
78.5;78.5;Библиография. Библиографоведение;;;;
;78.6;Научно-информационная деятельность;;;;
;78.64;Организация научно-информационной деятельности;;;;
;78.65;Основные направления научно-информационной деятельности;;;;
;;;;;;
79;79;Охрана памятников истории и культуры, Музейное дело. Выставочное дело. Архивное дело;;;;
79.0;79.0;Охрана памятников истории и культуры;;;;
79.1;79.1;Музейное дело. Музееведение;;;;
79.17;;;См. 79.2 Выставки. Выставочное;;;
;;;дело;;;
79.18;;;См. 77.55 Любительское;;;
;;;творчество. Хобби;;;
;79.2;Выставки. Выставочное дело;;;;
79.3;79.3;Архивное дело. Архивоведение;;;;
;80/84;Филологические науки. Художественная литература;;;;
80;80;Филологические науки в целом;;;;
;;;;;;
;;;;;;
;80.7;Риторика;;;;
81;81;Языкознание (лингвистика);;;;
81.1;81.1;Прикладное языкознание;;;;
81.2;81.2;Частное языкознание. Языки мира;;;;
;81.40/79;Семьи языков;;;;
81.2Рус;81.411.2;Русский язык;;;;
;81.411.2-02;Диалектология русского языка;;;;
81.2Рус-2;81.411.2-2;Русский язык. Грамматика;;;;
81.2Рус-4;81.411.2-4;Русский язык. Лексикография. Словари;;;;
81.2Рус-5;81.411.2-5;Русский язык. Лингвистика текста. Лингвостилистика;;;;
81.2Рус-67;;;См. 81.411.2-02 Диалектология;;;
;;;русского языка;;;
81.2Рус-7;;;См. 81.411.2-8 Русский язык.;;;
;;;Перевод;;;
81.2Рус-922;81.411.2я721;Русский язык. Учебные издания для средней школы;;;;
81.2Рус-923;81.411.2я73;Русский язык. Учебные издания для высшей школы;;;;
81.2Рус-93;;;См. 81.411.2 Русский язык;;;
;81.411.2-99;Изучение русского языка другими народами;;;;
81.2Англ;81.432.1;Английский язык;;;;
81.2Исп;81.472.1;Испанский язык;;;;
81.2Ита;81.473.1;Итальянский;;;;
81.2Нем;81.432.4;Немецкий язык;;;;
81.2Фр;81.471.1;Французский язык;;;;
;81.66;Уральские языки;Карельский язык;;;
;;;Вепсский язык Финский язык;;;
81.8;81.8;Искусственные (международные, вспомогательные) языки;;;;
82;82;Фольклор. Фольклористика;;;;
;;;;;;
;82.3;Мировой фольклор. Фольклор отдельных стран и народов;;;;
82.3(0);82.3(0);Мировой фольклор;;;;
82.3(2);82.3(2);Фольклор России;;;;
82.3(2Рос);;;См. 82.3(2) Фольклор России;;;
82.3(2Рос=Рус);82.3(2=411.2);Русский фольклор;;;;
82.3(2Рос=Рус)-6;82.3(2=411.2)-6;Произведения русского фольклора;;;;
82.3(3);82.3(3);Фольклор зарубежных стран;;;;
83;83;Литературоведение;;;;
83.3;83.3;Мировая литература. Литература отдельных стран и народов;;;;
83.3(0);83.3(0);Мировая литература;;;;
83.3(0)3;83.3(0)3;Литература Древнего мира;;;;
83.3(0)4;83.3(0)4;Литература Средних веков (V – XV вв.);;;;
83.3(0)5;83.3(0)5;Литература Нового времени;;;;
83.3(0)6;83.3(0)6;Литература Новейшего времени (1918 - );;;;
83.3(0)9;;;См. 83.3(0)=… + Таблица языковых;;;
;;;типовых делений;;;
83.3(2);83.3(2);Литература России;;;;
83.3(2)л6;83.3(2)л6;Литературные музеи и памятные места. Охрана литературных;;;;
;;памятников;;;;
;83.3(2)6;Литература России Новейшего времени;;;;
;83.3(2)64;Литература России с 1992 г.;;;;
;83.3(2=…);Литература отдельных народов России;;;;
83.3(2Рос=Рус);83.3(2=411.2);Русская литература;;;;
83.3(2Рос=Рус)1;;;См. 83.3(2=411.2) Русская;;;
;;;литература;;;
83.3(2Рос=Рус)6;83.3(2=411.2)6;Русская литература Новейшего времени (октябрь 1917 г. -);;;;
;83.3(2…);Литература отдельных местностей России;;;;
83.3(4/8);83.3(4/8);Литература отдельных зарубежных стран;;;;
83.3(4);83.3(4);Литература Европы;;;;
83.3(5);83.3(5);Литература Азии;;;;
83.3(6);83.3(6);Литература Африки;;;;
83.3(7);83.3(7);Литература Америки;;;;
;;;;;;
83.3(70);83.3(70);Литература Латинской Америки;;;;
83.3(8);83.3(8);Литература Австралии и Океании;;;;
83.7;;;см. 80.7 Риторика;;;
83.8;83.8;Детская литература;;;;
84;84;Художественная литература (произведения);;;;
84(0);84(0);Мировая литература (произведения);;;;
84(0)3;84(0)3;Литература Древнего мира (произведения);;;;
84(0)4;84(0)4;Литература Средних веков (V-XV вв.) (произведения);;;;
84(0)5;84(0)5;Литература Нового времени (XVI — начало XX в.);;;;
;;(произведения);;;;
84(0)6;84(0)6;Литература Новейшего времени (1918 - ) (произведения);;;;
84(2);84(2);Литература России (произведения);;;;
;84(2)6;Литература России Новейшего времени (октябрь 1917 г. - );;;;
;;(произведения);;;;
84(2Рос);;;См. 84(2) Литература России;;;
;;;(произведения);;;
84(2Рос=Рус);84(2=411.2);Русская литература;;;;
84(2Рос=Рус)1;;;См. 84(2=411.2) Русская литература;;;
84(2Рос=Рус)6;84(2=411.2)6;Русская литература Новейшего времени (октябрь 1917 г. - );;;;
;;(произведения);;;;
84(2Рос=А/Я);84(2=…);Литература отдельных народов России (произведения);;;;
;84(2...);Литература отдельных местностей России (произведения);;;;
84(4/8);84(4/8);Литература отдельных зарубежных стран (произведения);;;;
84(4);84(4);Литература Европы (произведения);;;;
84(5);84(5);Литература Азии (произведения);;;;
84(6);84(6);Литература Африки (произведения);;;;
84(7);84(7);Литература Америки (произведения);;;;
84(70);84(70);Литература Латинской Америки (произведения);;;;
84(8);84(8);Литература Австралии и Океании (произведения);;;;
;;;;;;
;;;;;;
85;85;Искусство;;;;
;85с;Компьютерные технологии в искусстве;;;;
85.1;85.1;Изобразительное искусство и архитектура;;;;
85.101;85.101;Охрана памятников искусства. Художественные музеи, коллекции;;;;
;;и собрания;;;;
;85.103;История изобразительного искусства;;;;
85.103(2);85.103(2);Изобразительное искусство России;;;;
85.103(2)1;;;См. 85.103(2) Изобразительное;;;
;;;искусство России;;;
85.103(2)6;85.103(2)6;Изобразительное искусство России Новейшего времени (1917 -);;;;
85.103(3);85.103(3);Изобразительное искусство зарубежных стран;;;;
85.11;85.11;Архитектура;;;;
85.113;85.113;История архитектуры;;;;
;85.113(2);Архитектура России;;;;
;85.113(2)6;Архитектура России новейшего времени;;;;
