bbk_full;bbk_abb;description;changes;;;
28.707;28.707;Биофизика, биохимия, физиология и иммунология человека;;;;
28.707.1;28.707.1;Биофизика человека;;;;
28.707.2;28.707.2;Биохимия человека;;;;
28.707.3;28.707.3;Физиология человека;;;;
28.707.4;28.707.4;Иммунология человека;;;;
28.708;28.708;Биоэкология человека;;;;
28.71;28.71;Антропология;;;;
3;3;Техника. Технические науки;;;;
30;30;Техника и технические науки в целом;;;;
30в6;30в6;Техническое моделирование;;;;
30г;30г;История техники;;;;
30л6;30л6;Технические музеи и выставки;;;;
30н;30н;Техника безопасности;;;;
30ф;30ф;Научно-информационная деятельность;Измененная формулировка;;;
30у;30у;Изобретательство и рационализация в области техники. Патентное;;;;
;;дело;;;;
30ц;30ц;Стандартизация, нормализация, установление технических;;;;
;;условий;;;;
45687;45687;Общетехнические дисциплины;;;;
45960;45960;Метрология. Техника измерений;;;;
45991;45991;Черчение;;;;
30.119;30.119;Техническое рисование;;;;
46021;46021;Техническая механика;;;;
30.121;30.121;Сопротивление материалов;;;;
30.123;30.123;Техническая гидромеханика (гидравлика);;;;
30.124;30.124;Техническая аэродинамика;;;;
30.125;30.125;Техническая магнитная гидродинамика;;;;
30.13;30.13;Техническая физика;;;;
30.137;;;См. 30.13 Техническая физика;;;
30.14;30.14;Теория надежности;;;;
;;;;;;
30.16;30.16;Бионика;;;;
30.18;30.18;Техническая эстетика. Промышленный дизайн;;;;
30.2;30.2;Проектирование;;;;
30.2-5-05;30.2-5-05;Автоматизация и компьютеризация проектирования;;;;
30.23;;;См. 30.2 Проектирование;;;
30.29;;;См. 30.2 Проектирование;;;
45746;45746;Сырье. Материалы. Материаловедение;;;;
30.36;30.36;Материалы по роду структуры;;;;
30.37;30.37;Материалы с особыми свойствами;;;;
45777;45777;Конструкции;;;;
45838;45838;Общая технология. Основы промышленного производства;;;;
30.604;30.604;Промышленные предприятия;;;;
30.604.5;30.604.5;Склады. Складское хозяйство;;;;
30.604.6;;;См. 30.604 Промышленные;;;
;;;предприятия;;;
30.605;30.605;Промышленное оборудование;;;;
30.606;30.606;Организация технологических процессов;;;;
30.607;30.607;Технический контроль производства;;;;
30.609;30.609;Продукция;;;;
30.61;30.61/67;Отдельные технологические процессы;;;;
30.68;30.68;Обработка отдельных материалов;;;;
30.69;30.69;Промышленная экология. Промышленные отходы;;;;
45899;45899;Монтаж, эксплуатация, ремонт машин и промышленного оборудования;;;;
30.81;30.81;Монтаж и демонтаж;;;;
30.82;30.82;Эксплуатация;;;;
30.83;30.83;Ремонт. Восстановление;;;;
45930;45930;Реконструкция и модернизация машин и промышленного;;;;
;;оборудования;;;;
31;31;Энергетика;;;;
31.15;31.15;Источники энергии. Энергетические ресурсы;;;;
31.16;31.16;Энергетическое оборудование. Энергомашиностроение;;;;
31.19;31.19;Энергетическое хозяйство;;;;
31.2;31.2;Электроэнергетика. Электротехника;;;;
